PCB congener,R7 ng/m3,R67 ng/m3,R456 ng/m3,KL ng/m3,R123 ng/m3,WC ng/m3
1,2544,91257,223673,494471,64320,49233
3,1978,52551,124390,108648,52061,51917
(4+10),9212,312187,821322,1354954,474211,177686
(7+9),4261,68895,177519,113998,66308,52023
6,4795,130214,376552,235838,130482,93287
(8+5),16092,601429,1509216,1075105,399636,302717
19,4206,163046,429560,453072,412218,148243
(12+13),2807,60871,163818,117618,91877,54853
18,13141,415920,1443178,927866,402792,275209
(15+17),28630,846423,2845213,1838881,971849,836521
(24+27),3730,163250,371554,345406,160061,136392
(16+32),22277,879082,2470339,1912231,756622,665696
26,4421,160259,529392,345770,196638,223350
25,4305,168140,565706,387316,340151,245467
31,45009,1348623,4642388,2800800,1321305,859700
28,30076,903341,3101245,1957102,960278,743533
(21+33+53),29427,879108,2914939,1680995,866760,920629
51,7349,302993,595128,749187,399014,775314
22,21358,582656,1803911,1087666,438380,274519
45,7350,302995,640793,749190,399016,775317
46,3159,174527,377325,387931,146300,158797
(52+43),101352,2830243,7084094,5939174,3461040,3912110
49,21071,696819,1815183,1602619,1004026,1473916
47,23987,730958,2001176,1728116,1029731,1480853
48,11640,385146,1139046,889398,380707,251242
44,23987,730961,2001183,1728120,1029733,1480856
37,23274,511445,1909055,1006416,450656,441131
42,17687,627876,1520841,1459762,605003,508622
(41+71),25189,758876,2159140,1767385,783034,730918
64,31292,907055,2393106,2017242,956651,658128
40,12595,379441,1079577,883697,435543,365461
100,1563,36227,56639,127910,104850,333744
63,2100,273543,215838,922121,109454,116689
74,27210,763574,2255924,1759336,874537,857671
(70+76),54421,1527148,4511850,3518673,1749075,1715342
(66+95),197184,4103312,11188913,8733780,4687873,7421899
91,10515,247130,495505,640489,309554,793468
(56+60),41644,1096623,3409025,2619513,1143523,897351
(92+84+89),0,0,0,0,0,0
101,58257,897348,2448902,1767167,1219057,2708484
99,40967,729617,1890755,1493663,1174053,2280380
83,40967,729618,1630682,1493664,760753,2280382
97,16874,273146,695263,566475,348678,599055
(81+87),17359,280359,717516,581728,365096,608960
85,9643,168449,380595,367334,195471,283358
136,38935,540258,1612013,1376551,732951,1837305
(77+110),123091,1821340,4396470,3843150,2111933,3875865
(82+151),79087,1022435,3243641,2082126,1579635,3332343
(135+144),80834,909871,3088992,1754685,1474172,3396253
107,14930,230024,491895,470307,260218,582050
(123+149),188162,2293536,5761012,4096649,2829339,6951887
118,192195,3031789,6276859,5962717,3179785,5961760
134,13001,150904,332510,273225,195250,197640
(114+131),10144,148856,290081,320710,145954,261832
146,74090,822554,2017879,1461876,1076065,3493974
153,219867,2390720,5907749,4125829,2964780,7322092
132,145228,1729841,4081900,3068231,1898940,4435926
105,82751,1236785,2526390,2412295,1290079,1939791
141,92727,1109538,3038081,1935341,1245282,2890824
(137+176+130),59865,881303,1603931,2443596,840050,1904468
(163+138),279067,2895601,6560858,5040125,3502179,7396668
158,48082,546360,1201271,998817,557897,1225275
(178+129),170868,1767680,4223315,3283881,2399529,4980048
175,4191,87736,177550,466814,107695,198405
(187+182),186994,1776512,5407919,3197136,3762335,7080226
183,43638,482558,1623292,894986,966179,1801026
128,38697,393487,750391,646197,379634,866817
185,43638,482558,1499609,894986,966179,1801026
174,140607,1427652,5063160,2754072,2532063,5112586
177,87893,815400,2653671,1567586,1384460,3114166
(202+171+156),58283,629701,1627293,1290892,1055950,2141218
(157+200),29874,511987,839617,1035395,496075,1008589
180,141319,1533611,4854618,2755669,2775277,5367562
193,141318,1533611,4854618,2755669,2775277,5367561
191,4676,65011,175059,177498,85737,204864
199,8021,103672,666691,283903,924967,338259
(170+190),171379,1776266,5038690,3246934,2394674,5804373
198,39596,424662,1074883,714785,1215397,1817608
201,39596,424662,1074883,714785,590540,1817608
(203+196),80209,886273,2638408,1580843,2651892,3468652
(208+195),46417,480395,1183218,1015986,988375,1967993
207,4143,55990,87958,131577,156395,208016
194,76695,829302,2471594,1494988,1943201,3299043
205,4986,48374,129145,86643,107043,169246
206,40541,395528,758068,642999,1092937,2160989
209,21797,205197,341345,421103,244539,543247